Tabelle: 12411-0008
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nationalität, Geschlecht, Familienstand;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Deutsche;;;;;;;;;;;;;;Ausländer;;;;;;;;;;;;;
;männlich;;;;;;;weiblich;;;;;;;männlich;;;;;;;weiblich;;;;;;
;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben
31.12.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54-Jährige;120528;312209;4225;64708;-;-;-;82323;327044;14199;83184;-;-;-;20848;52581;707;9911;-;-;-;15891;49885;3319;12099;-;-;-
55-Jährige;126408;341938;5138;72842;-;-;-;85310;353832;17536;92223;-;-;-;18866;51472;812;9660;-;-;-;14172;46426;3498;11663;-;-;-
56-Jährige;129143;361415;6277;78841;-;-;-;85415;371321;20884;100127;-;-;-;17300;48805;831;9550;-;-;-;13201;43295;3860;11069;-;-;-
57-Jährige;126855;376094;7338;83536;-;-;-;84009;383328;24415;105292;-;-;-;15420;44269;866;8659;-;-;-;12170;38788;3884;9947;-;-;-
58-Jährige;123619;388848;8478;87300;-;-;-;80889;394630;28389;108984;-;-;-;13600;44282;926;8918;-;-;-;10905;37955;4078;9635;-;-;-
59-Jährige;116525;392800;9315;88517;-;-;-;76436;394758;32768;108391;-;-;-;12410;42811;949;8593;-;-;-;10363;35868;4437;9211;-;-;-
60-Jährige;111475;402216;10851;90621;-;-;-;73820;403841;38168;110764;-;-;-;11693;41334;1036;8158;-;-;-;9601;33644;4699;8817;-;-;-
61-Jährige;102392;402864;12064;89807;-;-;-;68548;402940;43192;108133;-;-;-;10793;38274;1042;7505;-;-;-;9285;30134;4835;7934;-;-;-
62-Jährige;93574;393180;13324;85887;-;-;-;62663;390092;48168;104814;-;-;-;10159;34792;1101;6965;-;-;-;8834;27922;5217;7652;-;-;-
63-Jährige;86869;391218;14797;84030;-;-;-;56696;386809;55001;101933;-;-;-;8998;30362;1063;6335;-;-;-;8391;25032;5491;6765;-;-;-
